,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1115,Shy Glizzy,Money Set (feat. Young Thug),6rWXZaMeibpzkHySnXPrZZ,66,0.0901,0.862,189536,0.719,0.0,6,0.094,-3.755,0,0.129,135.042,4,0.541
1116,Frank Ocean,Moon River,41cpvQ2GyGb2BRdIRSsTqK,68,0.877,0.24,188324,0.116,0.00092,0,0.1,-13.216,1,0.0329,77.349,3,0.0937
1117,Bradley Cooper,Alibi,3VQN13uMyi3dGpyIyUhG3X,73,0.0145,0.285,183227,0.787,0.00043,9,0.817,-3.641,0,0.036,175.693,4,0.636
1118,Gunna,Spending Addiction,4XbhQKkTqhEkvUXhivLydC,66,0.704,0.89,186480,0.455,0.0,1,0.101,-5.938,1,0.438,124.964,4,0.663
1119,Comethazine,Let It Eat (feat. Ugly God),0Pig0zQXMTybNaeHWSWrBc,66,0.00754,0.944,87313,0.752,0.0107,11,0.141,-2.625,0,0.135,134.039,4,0.489
1120,Kina,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,70,0.72,0.498,179080,0.235,0.0,1,0.144,-16.541,0,0.188,118.917,4,0.0895
1121,Quando Rondo,I Remember (feat. Lil Baby),7G66zoruHCjFeoYwi7kPUe,64,0.142,0.537,230400,0.516,0.0,0,0.0816,-9.348,1,0.236,133.356,3,0.24
1122,Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],5mexbTuWx9d8DPZk4sDGF4,68,0.194,0.551,210960,0.725,0.0,1,0.0956,-7.619,0,0.189,99.919,4,0.692
1123,Nebu Kiniza,All In,5SUlWv63JVVDFjFmXSbuLf,65,0.000799,0.734,160613,0.746,0.0,7,0.119,-7.797,1,0.0542,84.177,4,0.562
1124,The Chainsmokers,Siren,7Bvp5JUJiyUrMgvH4DR0wH,72,0.36,0.584,174400,0.786,0.0163,4,0.372,-4.319,0,0.133,150.06,4,0.272
1125,Keith Urban,Female,1t34UsQ634a233qysq6D6L,65,0.186,0.567,195317,0.477,4.86e-05,8,0.111,-8.781,0,0.0331,85.019,5,0.321
1126,BROCKHAMPTON,SAN MARCOS,1Bn8jBSmtSQdvAFXU3ok1w,67,0.326,0.515,286707,0.505,0.0,0,0.102,-5.606,1,0.0294,150.063,4,0.538
1127,City Girls,Where The Bag At,7GlZhPkCA259c3ICFU0eaG,65,0.0257,0.723,200561,0.747,0.000187,10,0.359,-4.266,1,0.162,175.994,4,0.421
1128,Sebastian Yatra,Por Perro,1XM5PgxjpYcF0JuE9nfUbS,80,0.419,0.685,245360,0.762,0.0,0,0.0759,-5.147,1,0.0565,172.017,4,0.905
1129,Brandon Lay,Yada Yada Yada,7FEY9w6basvhNfZA0jvpGB,65,0.159,0.674,217387,0.705,6.11e-06,0,0.106,-7.516,1,0.0259,95.99,4,0.635
1130,Ozuna,Escape,1PPHqTL7IpYToKeIuA5pi9,70,0.0544,0.742,190400,0.834,7.98e-05,6,0.481,-4.49,0,0.0613,171.986,4,0.743
1131,Logic,Everybody Dies,5SLhbyOJgcKGTDNWaQN91M,68,0.138,0.574,250267,0.926,2.59e-06,9,0.38,-3.935,0,0.207,94.279,4,0.835
1132,Summer Walker,Session 32,2ktg2oZDyFAX3iY1QNkXl5,67,0.894,0.574,98027,0.123,0.00111,1,0.118,-13.959,1,0.196,115.431,3,0.117
